case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
2003.11.01,01-nov-03,2003,unprovoked,australia,new south wales,"seal rocks, north of newcastle",standing,m,,minor lacerations to leg & foot,n,nan,"the sun; 11/2/2003, p.9",2003.11.01-sealrocks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.01-sealrocks.pdf,4494
2003.11.00,not defined,2003,provoked,panama,pearl islands,nan,spearfishing,m,,left forearm bitten provoked incident,n,"nurse shark, 60 cm to 90 cm [2' to 3']","j. eager, scubaradio.com",2003.11.00-richardhatch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.11.00-richardhatch.pdf,4493
2003.10.31.c,31-oct-03,2003,unprovoked,usa,florida,"ponte vedra beach, st. johns county",surfing,m,18.0,left foot (sole) bitten,n,1.2 m to 1.5 m [4' to 5'] shark,"d. dixon, florida times-union, 11/8/2003",2003.10.31.c-gray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.c-gray.pdf,4492
2003.10.31.b,31-oct-03,2003,unprovoked,australia,new south wales,"lighthouse beach, seal rocks",surfing,m,22.0,left ankle & foot lacerated,n,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",abc news australia,2003.10.31.b-anthony.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.b-anthony.pdf,4491
2003.10.31.a,31-oct-03,2003,unprovoked,usa,hawaii,"tunnels surf break off makua beach, kaua'i",surfing,f,13.0,left arm severed below shoulder,n,"tiger shark, 14'","e. ritter, gsaf",2003.10.31.a-bethanyhamilton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.31.a-bethanyhamilton.pdf,4490
2003.10.27,27-oct-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,46.0,laceration on right ankle & heel,n,nan,"s. petersohn, gsaf",2003.10.27-hauser.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.27-hauser.pdf,4489
2003.10.24,24-oct-03,2003,invalid,usa,hawaii,honolua bay,snorkeling,m,56.0,left forearm lacerated,n,shark involvement not confirmed,"timothy hurley, advertiser maui county bureau",2003.10.24-donkeener.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.24-donkeener.pdf,4488
2003.10.14,14-oct-03,2003,unprovoked,usa,florida,near patrick air force base brevard county,surfing,m,19.0,foot bitten,n,1.2 m [4'] shark,wftv.com,2003.10.14-male.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.14-male.pdf,4487
2003.10.06,06-oct-03,2003,invalid,usa,florida,palm beach?,swimming to shore from boat or kayak,m,,"fatal, drowning or scavenging.  two hours later his body, with bite marks,  washed ashore.",y,nan,"e. pace, fsaf",2003.10.06-nv-palmbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.06-nv-palmbeach.pdf,4486
2003.10.05.e,05-oct-03,2003,unprovoked,usa,florida,"ocean reef park, singer island, palm beach county",surfing,f,,minor puncture wounds in hand,n,nan,"j. eager, scubaradio.com",2003.10.05.e-female.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.e-female.pdf,4485
2003.10.05.d,05-oct-03,2003,unprovoked,usa,florida,"stuart park beach, martin county",surfing,m,18.0,5 to 6 lacerations on right foot & ankle,n,nan,"vero beach press journal (fl) 10/6/2003;  stuart news, 10/6/2003",2003.10.05.d-surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.d-surfer.pdf,4484
2003.10.05.c,05-oct-03,2003,provoked,usa,florida,"south jetty, new smyrna beach, volusia county",surfing,m,30.0,left ankle bitten when he stepped on the shark provoked incident,n,nan,"s. petersohn, gsaf",2003.10.05.c-eckstein.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.c-eckstein.pdf,4483
2003.10.05.b,05-oct-03,2003,unprovoked,usa,florida,"crawford road beach approach at new smyrna beach, volusia county",sitting on surfboard,m,50.0,left foot bitten,n,nan,"s. petersohn, gsaf; j. eager, scubaradio.com",2003.10.05.b-demartino.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.b-demartino.pdf,4482
2003.10.05.a,05-oct-03,2003,unprovoked,usa,hawaii,"cove beach / kalama beach, kihei, maui",wading near a fishing net,f,41.0,"left thigh abraded, right knee and right index finger injured",n,"1.2 m [4'] ""grey-colored shark""","g. kubota, star bulletin",2003.10.05.a-clara-alo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.10.05.a-clara-alo.pdf,4481
2003.09.29,29-sep-03,2003,unprovoked,fiji,taveuni,welagi coastal reef off drekeniwai,wading to shore from his boat,m,40.0,fatal abdomen bitten,y,nan,"r. weeks, gsaf; fiji times, 10/2/2003; fiji tv",2003.09.29-mate.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.29-mate.pdf,4480
2003.09.28,28-sep-03,2003,unprovoked,usa,florida,"north hutchinson island, st. lucie couny",surfing,m,16.0,arm lacerated,n,nan,"7news online;  vero beach press journal, fort pierce tribune, stuart news, 10/1/2003",2003.09.28-s.johnson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.28-s.johnson.pdf,4479
2003.09.21,21-sep-03,2003,unprovoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",surfing,m,21.0,left foot bitten,n,nan,"s. petersohn, gsaf; daytona beach news journal, 9/22/2003, p.1c",2003.09.21-jimmy-arnold.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.21-jimmy-arnold.pdf,4478
2003.09.19,19-sep-03,2003,unprovoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",surfing,m,19.0,left heel lacerated,n,nan,"s. petersohn, gsaf",2003.09.19-davidcales.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.19-davidcales.pdf,4477
2003.09.17,17-sep-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,17.0,3 puncture wounds on left foot,n,nan,"s. petersohn, gsaf",2003.09.17-ab.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.17-ab.pdf,4476
2003.09.14.c,14-sep-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,30.0,left foot: lacerations on heel and sole,n,3' shark,"s. petersohn, gsaf",2003.09.14.c-jasonwilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.14.c-jasonwilliams.pdf,4475
2003.09.14.b,14-sep-03,2003,boat,south africa,western cape province,melkbosstrand,fishing,,,"no injury to occupants, shark bit boat",n,2 m cow shark,"e. ritter, gsaf",2003.09.14.b-cowshark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.14.b-cowshark.pdf,4474
2003.09.14.a,14-sep-03,2003,invalid,usa,florida,"bathtub reef beach, martin county",swimming,f,,puncture wounds on inner thigh,n,shark involvement doubtful,"fort pierce tribune, 9/15/2003",2003.09.14.a-girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.14.a-girl.pdf,4473
2003.09.13.b,13-sep-03,2003,unprovoked,usa,florida,"daytona beach, volusia county",body boarding,m,18.0,left calf avulsion,n,6' shark,"s. petersohn, gsaf; news journal online; orlando sentinel, 9/15/2003, p.b2; r. weiss, daytona beach news journal, 9/15/2001, p.3c",2003.09.13.b-edelson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.13.b-edelson.pdf,4472
2003.09.13.a,13-sep-03,2003,unprovoked,usa,south carolina,"isle of palms, charleston county","standing, stepped on shark",m,15.0,ankle lacerated,n,7' shark,"p. caston, post & courier",2003.09.13.a-joedavis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.13.a-joedavis.pdf,4471
2003.09.12,12-sep-03,2003,unprovoked,south africa,western cape province,near the wreck of the kakapo off noordhoek beach,body boarding,m,19.0,"fatal, left thigh, buttocks, back of spine, abdomen & chest bitten",y,white shark,"e. ritter, gsaf;      http://www.wavescape.co.za/top_bar/locals_only9.htm",2003.09.12-bornman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.12-bornman.pdf,4470
2003.09.00,not defined,2003,unprovoked,usa,florida,"boca grande, lee county",wade-fishing,m,,2 lacerations on each side of achilles tendon,n,nan,"b. stout, news-press, 9/24/2003",2003.09.00-wade-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.09.00-wade-fisherman.pdf,4469
2003.08.29,29-aug-03,2003,provoked,usa,texas,1.5 miles off surfside,fishing,m,,provoked incident hooked shark pulled onboard bit his arm,n,1.2 m [4'] bull shark,http://www.dfw.com/mld/startelegram/news/state/6656592.htm?1c,2003.08.29-gonzalez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.08.29-gonzalez.pdf,4468
2003.08.19,19-aug-03,2003,unprovoked,usa,california,"avila beach, san luis obispo county","swimming, wearing black wetsuit & swim fins",f,50.0,"fatal          hip & upper thigh bitten, femoral artery severed",y,4.5 m to 5.5 m [15' to 18'] white shark,"r. collier, gsaf",2003.08.19-franzman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.08.19-franzman.pdf,4467
2003.08.12,12-aug-03,2003,invalid,usa,california,"venice beach, los angeles county",swimming,m,31.0,left ankle lacerated,n,shark involvement not confirmed,abc news,2003.08.12-venicebeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.08.12-venicebeach.pdf,4466
2003.08.08,08-aug-03,2003,unprovoked,south africa,eastern cape province,jeffrey�s bay,sitting on surfboard,m,16.0,"no injury, wetsuit torn & board bitten",n,3.5 m [11.5'] white shark,"e. ritter, gsaf  http://sport.iafrica.com/news/261271.htm",2003.08.08-krone.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.08.08-krone.pdf,4465
2003.07.26.r,not defined,2003,unprovoked,australia,northern territory,nhulunbuy,surf skiing,m,37.0,"no injury, flung into water when shark bit rudder of ski",n,nan,"northern territory news, 7/26/2003, p.1",2003.07.26.r-gunda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.26.r-gunda.pdf,4464
2003.07.20,20-jul-03,2003,unprovoked,usa,florida,"ponce inlet, new smyrna beach, volusia county",surfing,m,18.0,laceration to little finger of  right hand,n,nan,"s. petersohn, gsaf",2003.07.20-mcgovern.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.20-mcgovern.pdf,4463
2003.07.15,15-jul-03,2003,unprovoked,usa,florida,"daytona beach, volusia county",wading,f,15.0,heel & sole of left foot,n,nan,"s. petersohn, gsaf",2003.07.15-ck.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.15-ck.pdf,4462
2003.07.09,10-jul-03,2003,unprovoked,bahamas,abaco islands,bakers bay,spearfishing,m,58.0,right thigh bitten,n,unidentified species,"m. levine, gsaf; associated press, 7/12/03",2003.07.09-horton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.09-horton.pdf,4461
2003.07.05.b,05-jul-03,2003,provoked,usa,florida,"near new smyrna jetty, volusia county","walking, carrying surfboard & stepped on shark",m,10.0,3 puncture wounds on right lateral ankle provoked incident,n,2' shark,"s. petersohn, gsaf",2003.07.05.b-pl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.05.b-pl.pdf,4460
2003.07.05.a,05-jul-03,2003,unprovoked,usa,florida,"canova beach, brevard county",surfing,m,21.0,left foot bitten,n,1.5 m to 1.8 m [5' to 6'] shark,vero beach press journal (fl) 7/9/2003,2003.07.05.a-ingram.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.05.a-ingram.pdf,4459
2003.07.04,04-jul-03,2003,unprovoked,bahamas,abaco islands,10 miles west of walker�s cay,spearfishing,m,39.0,left calf bitten,n,2.1 m  [7'] bull shark,"associated press, 7/12/03; palm beach post, 7/7/2003",2003.07.04-benbrown.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.04-benbrown.pdf,4458
2003.07.00.c,not defined,2003,unprovoked,usa,florida,"fort lauderdale, broward county",spearfishing,m,,laceration to toe,n,8' great hammerhead shark,m. marks,2003.07.00.c-markmarks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.00.c-markmarks.pdf,4457
2003.07.00.b,not defined,2003,unprovoked,french polynesia,society islands,moorea,spearfishing,m,,leg bitten,n,nan,noonsite.com,2003.07.00.b-moorea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.00.b-moorea.pdf,4456
2003.07.00.a,not defined,2003,unprovoked,new zealand,cook islands,beveridge reef,snorkeling,m,,chest & buttocks  bitten,n,grey reef shark,r. & j. zorro; noonsite.com,2003.07.00.a-beveridgereef.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.07.00.a-beveridgereef.pdf,4455
2003.06.30,30-jun-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,17.0,right foot & toes lacerated,n,unidentified species,"s. petersohn, gsaf",2003.06.30-ew..pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.30-ew..pdf,4454
2003.06.26,26-jun-03,2003,unprovoked,usa,florida,st augustine beach. st. johns county,surfing,m,15.0,ankle lacerated,n,106 cm [3.5']  shark,local6.com,2003.06.26-tostevin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.26-tostevin.pdf,4453
2003.06.24.c,24-jun-03,2003,unprovoked,brazil,pernambuco,"piedade, recife",nan,m,,fatal,y,nan,"jconline, 6/23/2012",2003.06.24.c-mosesalbuquerque.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.24.c-mosesalbuquerque.pdf,4452
2003.06.24.b,24-jun-03,2003,unprovoked,usa,florida,"cocoa beach, brevard county",standing,f,12.0,2 lacerations to the thigh,n,�small brown shark�,"florida today, 6/26/ 2003; wkmg local 6",2003.06.24.b-hathaway.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.24.b-hathaway.pdf,4451
2003.06.24.a,24-jun-03,2003,unprovoked,usa,hawaii,"makua beach, oahu",swimming with pod of dolphins,m,60.0,right foot bitten,n,3.7 m to 4.3 m [12' to 14'] shark,honolulu advertiser,2003.06.24.a-marrack.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.24.a-marrack.pdf,4450
2003.06.22,22-jun-03,2003,unprovoked,usa,johnston atoll,nan,swimming,m,51.0,left leg bitten,n,unidentified species,"h. edwards, gsaf; the hawaai channel",2003.06.22-fahey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.22-fahey.pdf,4449
2003.06.19,19-jun-03,2003,unprovoked,usa,north carolina,"masonboro island, new hanover county",surfing,m,33.0,hand bitten,n,"""sand shark""","c. creswell, gsaf",2003.06.19-white.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.19-white.pdf,4448
2003.06.08,08-jun-03,2003,unprovoked,usa,florida,"ponce inlet, volusia county",surfing,,15.0,6 puncture wounds to left ankle,n,nan,"s. petersohn, gsaf",2003.06.08-jd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.08-jd.pdf,4447
2003.06.00,not defined,2003,invalid,usa,south carolina,"pawleys island, georgetown county",swimming,f,22.0,foot lacerated,n,shark involvement not confirmed,j. eager,2003.06.00-pawleysisland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.06.00-pawleysisland.pdf,4446
2003.05.25,25-may-03,2003,unprovoked,usa,florida,"coral cove park, jupiter inlet, palm beach county",surfing,m,18.0,left foot lacerated,n,nan,local 6 news,2003.05.25-kildosher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.25-kildosher.pdf,4445
2003.05.14,14-may-03,2003,unprovoked,usa,florida,"ponce de leon inlet, volusia county",wading,m,22.0,left foot bitten,n,3' to 5' shark,"s. petersohn, gsaf; orlando sentinel, 5/16;2003, p.c3",2003.05.14-brust.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.14-brust.pdf,4444
2003.05.10,10-may-03,2003,unprovoked,usa,hawaii,between magic sands beach and kahaluu beach on the kona coast,swimming,m,20.0,right calf & heel bitten,n,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,westhawaiitoday.com,2003.05.10-paulo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.10-paulo.pdf,4443
2003.05.07,07-may-03,2003,provoked,usa,florida,"new smyrna beach, volusia county",surfing,m,34.0,multiple bites to foot after jumping off surfboard onto shark provoked incident,n,4' to 5' shark,"s. petersohn, gsaf; m. i. johnson,  daytona beach news journal. 5/8/2003, p.1c; tampa tribune, 5/8/2003",2003.05.07-gaskins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.07-gaskins.pdf,4442
2003.05.03,03-may-03,2003,unprovoked,usa,florida,"daytona beach shores, volusia county",walking,f,9.0,laceration to right lower leg,n,nan,"s. petersohn, gsaf",2003.05.03-aj.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.03-aj.pdf,4441
2003.05.00,not defined,2003,unprovoked,philippines,baatan,limay,nan,,,arm severed,n,white shark,"d. cervantes, star",2003.05.00-philippines.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.05.00-philippines.pdf,4440
2003.04.26,26-apr-03,2003,provoked,brazil,rio de janeiro,"copacabana beach, rio de janiero",killing  sharks,m,,shallow  lacerations to left  thigh provoked incident,n,nan,"p.m. lopes, gsaf",2003.04.26-rio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.26-rio.pdf,4439
2003.04.25,25-apr-03,2003,unprovoked,brazil,rio de janeiro,"copacabana beach, rio de janiero",swimming,m,16.0,bitten on finger,n,nan,web prowire,2003.04.25-marinho.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.25-marinho.pdf,4438
2003.04.23.b,23-apr-03,2003,unprovoked,brazil,pernambuco,"pau amarelo beach, paulista district (17 km from recife)",surfing,m,17.0,"hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",n,bull shark,"p. m. lopes, gsaf; n. souza da silva; jc, 4/24/2003",2003.04.23.b-machado.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.23.b-machado.pdf,4437
2003.04.23.a,23-apr-03,2003,unprovoked,brazil,rio de janeiro,"copacabana beach, rio de janiero",swimming,m,7.0,right hand lacerated,n,nan,local 6 news,2003.04.23.a-boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.23.a-boy.pdf,4436
2003.04.21.b,21-apr-03,2003,unprovoked,usa,florida,"melbourne beach, brevard county",surfing,m,36.0,right leg bitten,n,unidentified species,"local 6 news; st. petersburg times, 4/22/2003; the eagle, 4/24/2003",2003.04.21.b-sammis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.21.b-sammis.pdf,4435
2003.04.21.a,21-apr-03,2003,unprovoked,usa,florida,"shepard park, cocoa beach, brevard county",surfing,m,17.0,survived,n,unidentified species,"orlando sentinel, 4/22/2003, b3",2003.04.21.a-surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.21.a-surfer.pdf,4434
2003.04.20.c,20-apr-03,2003,unprovoked,usa,florida,"playalinda beach, brevard county",surfing,m,30.0,left foot bitten,n,unidentified species,"orlando sentinel, 4/22/2003, b3",2003.04.20.c-ryan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.20.c-ryan.pdf,4433
2003.04.20.b,20-apr-03,2003,unprovoked,usa,florida,"sunglow pier, daytona beach shores, volusia county",surfing,m,23.0,small lacerations to foot,n,0.9 m to 1.2 m [3' to 4'] shark,"s. petersohn, gsaf; local6.com; daytona beach news-journal . 4/21/2003, p.1c",2003.04.20.b-albright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.20.b-albright.pdf,4432
2003.04.20.a,20-apr-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,18.0,left ankle bitten or right foot,n,unidentified species,"s. petersohn, gsaf; local 6 news; s. frederick, daytona beach news journal, 4/28/2003, p.1c; orlando sentinel, 4/22/2003, p.b3",2003.04.20.a-stephenflowers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.20.a-stephenflowers.pdf,4431
2003.04.19,19-apr-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",jumping,m,11.0,left foot bitten,n,a �small� shark,"s. petersohn, gsaf; s. frederick, daytona beach news journal, 4/21/2003, p.1c; j. waymer, florida today (melbourne), 4/19/2003",2003.04.19-sd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.19-sd.pdf,4430
2003.04.18,18-apr-03,2003,unprovoked,usa,florida,"north beach, patrick afb, brevard county",surfing,m,12.0,2 lacerations on left thigh,n,unidentified species,"local 6 news; tallahassee democrat (fl) 4/19/2003; j. waymer, florida today (melbourne), 4/19/2003",2003.04.18-patrickafb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.18-patrickafb.pdf,4429
2003.04.15,15-apr-03,2003,unprovoked,usa,florida,"cocoa beach, brevard county",swimming (using a float),m,20.0,left calf lacerated,n,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee","florida today (melbourne), 4/16/2003; orlando sentinel, 4/16/2003, p.b3",2003.04.15-venezuela.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.15-venezuela.pdf,4428
2003.04.11,11-apr-03,2003,unprovoked,venezuela,nueva esparta,"el yaqu, isla de margarita",surfing,m,28.0,"right foot bitten, left leg severed",n,"mako shark, 3 m [10']","e. ritter & m. levine, gsaf",2003.04.11-yannperras.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.11-yannperras.pdf,4427
2003.04.09,09-apr-03,2003,unprovoked,usa,florida,"melbourne beach, brevard county",surfing,m,,arm lacerated,n,nan,d. share,2003.04.09-share.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.09-share.pdf,4426
2003.04.04,04-apr-03,2003,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,50.0,left hand and wrist bitten,n,4' to 5' shark,"s. petersohn, gsaf",2003.04.04-jordan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.04.04-jordan.pdf,4425
2003.03.10,10-mar-03,2003,provoked,usa,florida,"petting tank, florida aquarium, tampa, hillsborough county",petting captive sharks,f,,hand nipped provoked incident,n,60 cm [2'] captive shark,"florida aquarium; miami herald, 3/13/2002",2003.03.10-menke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.03.10-menke.pdf,4424
2003.02.27,27-feb-03,2003,unprovoked,new zealand,southland,east side of bench island in the foveaux strait,scuba diving,m,44.0,arm lacerated (shark made 3 strikes),n,2.5 m [8.25'] white shark,"r.d. weeks & mark marks, gsaf; new zealand herald",2003.02.27-kerr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.02.27-kerr.pdf,4423
2003.02.15.b,15-feb-03,2003,unprovoked,australia,south australia,"goolwa beach, fleurieu peninsula",wading,m,37.0,ankle lacerated,n,"""a small shark""","t. peake, gsaf, surfsouthoz.com, 3/38/2003",2003.02.15.b-smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.02.15.b-smith.pdf,4422
2003.02.15.a,15-feb-03,2003,unprovoked,usa,florida,"jupiter, palm beach county",swimming,m,54.0,left hand bitten,n,species unidentified,"j. eager, scubaradio.com",2003.02.15.a-bailey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.02.15.a-bailey.pdf,4421
2003.02.11,11-feb-03,2003,unprovoked,australia,new south wales,"coogee bay, near sydney",swimming,m,24.0,"puncture wounds on heel, legs and buttocks",n,thought to involve a 2 m [6.75'] grey nurse shark,"t. peake, gsaf",2003.02.11-plumridge.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.02.11-plumridge.pdf,4420
2003.02.08,08-feb-03,2003,unprovoked,australia,queensland,burleigh lake on the gold coast,swimming,m,84.0,fatal,y,thought to involve a >2 m [6.75'] bull shark,"t. peake, gsaf; sunday territorian, 2/9/2003, p.9",2003.02.08-purcell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.02.08-purcell.pdf,4419
2003.01.17,17-jan-03,2003,invalid,south africa,western cape province,"near the lagoon at table view, cape peninsula",unknown,m,14.0,probable scavenging. the boy disappeared while at the beach on january 1st. his decomposed shark-bitten body washed ashore january 17th,y,nan,iol.co.za,2003.01.17-scavenging.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.01.17-scavenging.pdf,4418
2003.01.03,03-jan-03,2003,unprovoked,costa rica,north pacific coast,playa tamarindo,surfing,m,,lower right leg lacerated,n,"bull shark, 7'",a.m. costa rica,2003.01.03-menking.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.01.03-menking.pdf,4417
2003.01.02,02-jan-03,2003,unprovoked,australia,western australia,left break at the �hot spot� at sheringa beach,surfing,f,,"no injury, but her surfboard was bitten",n,"bronze whaler shark, 2.5 m [8.25']","t. peake, gsaf",2003.01.02-eason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2003.01.02-eason.pdf,4416
2002.12.29,29-dec-02,2002,unprovoked,australia,queensland,great barrier reef  (near upolu bay),snorkeling,f,18.0,left arm lacerated,n,reported to involve a hammerhead shark,"t. peake, gsaf; mercury (hobart), 12/30/2002, p.10",2002.12.29-schellekens.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.29-schellekens.pdf,4415
2002.12.24,24-dec-02,2002,unprovoked,south africa,western cape province,scarborough,snorkeling,m,25.0,forearms lacerated,n,"white shark, 4 m white shark",iol.co.za,2002.12.24-bovim.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.24-bovim.pdf,4414
2002.12.21,21-dec-02,2002,unprovoked,australia,queensland,depth of 40 m on the wreck of the st. paul off brisbane,scuba diving,m,26.0,groin bitten,n,"wobbegong shark, 1m",gc online. note: same diver's swim fin was bitten 3 weeks earlier by a 2 m [6.75'] wobbegong shark,2002.12.21-hennessey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.21-hennessey.pdf,4413
2002.12.20,20-dec-02,2002,invalid,australia,queensland,golden beach,swimming,m,11.0,foot lacerated,n,"shark involvement not confirmed, injury may be due to a stingray","t. peake, gsaf",2002.12.20-doyle.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.20-doyle.pdf,4412
2002.12.16,16-dec-02,2002,unprovoked,australia,queensland,miami lake,swimming,m,23.0,fatal,y,bull shark,"t. peake, gsaf; northern territory news, 12/20/2002, p.9",2002.12.16-beaumartin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.16-beaumartin.pdf,4411
2002.12.01,01-dec-02,2002,unprovoked,brazil,pernambuco,"boa viagem beach, recife",surfing,m,19.0,fatal,y,nan,o. gadig,2002.12.01-gadelha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.12.01-gadelha.pdf,4410
2002.11.28.b,28-nov-02,2002,unprovoked,micronesia,caroline islands,"pision reef, truk",scuba diving,m,,minor injury to right calf,n,blacktip shark,j. connick,2002.11.28.b-kevin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.28.b-kevin.pdf,4409
2002.11.28.a,28-nov-02,2002,unprovoked,usa,california,"salmon creek, sonoma county",body boarding,m,48.0,both legs severely lacerated,n,3 m to 4.5 m [10' to 15'] white shark,"r. collier, gsaf; press report: santa rosa press democrat",2002.11.28.a-casey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.11.28.a-casey.pdf,4408
