case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
1959.11.12.r,not defined,1959,provoked,australia,south australia,near port vincent,shark fishing,,,"no injury to occupant, hull bitten provoked incident",n,6 m [20'] shark,"advertiser (adelaide), 11/12/1959",1959.11.12.r-whitrow-yacht.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.11.12.r-whitrow-yacht.pdf,2171
1959.11.10,10-nov-59,1959,unprovoked,usa,california,"near paradise cove, malibu, los angeles county",swimming at surface through school of feeding 2.5' to 5� sharks,m,21.0,forearm bitten,n,"blue shark, 1.5 m [5']","d. miller & r. collier; r. collier, pp.26-27; p. gilbert, l. schultz & s. springer (1960);  v.m. coppleson (1962), p.249",1959.11.10-fryling_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.11.10-fryling_collier.pdf,2170
1959.11.09,09-nov-59,1959,provoked,australia,western australia,perth,"spearfishing, shot shark, hauled it onto boat",m,,"no injury. diver shot shark, then shark tore legs of his rubber suit, water poured in & swept out to sea by strong rip current provoked incident",n,"carpet shark, 1.5 m [5']","perth daily news, 4/19/1961; v.m. coppleson (1962), p.251",1959.11.09-marks.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.11.09-marks.pdf,2169
1959.11.01,01-nov-59,1959,provoked,papua new guinea,new britain,"rapindik beach, rabaul",fishing,m,,both hands bitten while helping companion land speared shark provoked incident,n,nan,"a. m. rapson, p.147",1959.11.01-rabaul.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.11.01-rabaul.pdf,2168
1959.10.07,07-oct-59,1959,unprovoked,mozambique,maputo province,"xefina island, bay of maputo",swimming,m,,"fatal, died in lourenco marques hospital",y,nan,"m. levine, gsaf; the star (johannesburg), 10/7/1959; p. gilbert, l. schultz & s. springer (1960)",1959.10.07-portuguesesoldier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.10.07-portuguesesoldier.pdf,2167
1959.10.05,05-oct-59,1959,unprovoked,papua new guinea,madang,taludig,nan,,,thigh bitten,n,nan,"a.m. rapson, p.150; v.m. coppleson (1962), p.248",1959.10.05-papuanewguinea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.10.05-papuanewguinea.pdf,2166
1959.10.04,04-oct-59,1959,unprovoked,usa,california,"bodega rock, sonoma county",diving for abalone,m,30.0,"ankle twisted, swim fin bitten",n,"white shark, 5 m [16.5'], identified by dr. w. i. follett on tooth marks","san francisco chronicle, 10/7/1959n; d. miller & r. collier;  r. collier, pp.25-26; p. gilbert, l. schultz & s. springer (1960); h.d. baldridge, p.70",1959.10.04-jameshay_collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.10.04-jameshay_collier.pdf,2165
1959.10.02,02-oct-59,1959,unprovoked,fiji,lomaiviti province,"levuka, ovalau island",dived overboard to retrieve dinghy,m,,"fatal, body not recovered",y,4.3 m [14'] shark,"v.m. coppleson; p. gilbert, l. schultz & s. springer (1960)",1959.10.02-fijiancook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.10.02-fijiancook.pdf,2164
1959.10.00,not defined,1959,unprovoked,fiji,kadavu,great astrolabe reef,spearfishing,m,36.0,forearm abraded,n,"tiger shark, 1.8 m [6']",s.b. brown,1959.10.00-etuate.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.10.00-etuate.pdf,2163
1959.09.30,30-sep-59,1959,unprovoked,philippines,leyte island,luang dulag,swimming,m,28.0,"no details, survived",n,nan,"manila times, 10/2/1959",1959.09.30-daguinot.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.30-daguinot.pdf,2162
